Date,Open,High,Low,Close/Last,Close/Last,Volume
1/24/2020,332.44,332.53,327.36,328.77,328.77,87578440
1/23/2020,330.63,332.1682,329.41,331.72,331.72,51962990
1/22/2020,332.24,332.95,331.17,331.34,331.34,48914900
1/21/2020,330.9,332.18,330.82,331.3,331.3,77742420
1/17/2020,331.7,332.18,330.8539,331.95,331.95,95846020
1/16/2020,329.7,330.92,329.45,330.92,330.92,54050330
1/15/2020,327.35,329.02,327.26,328.19,328.19,72056600
1/14/2020,327.47,328.62,326.844,327.45,327.45,63036380
1/13/2020,326.39,327.96,325.92,327.95,327.95,47262010
1/10/2020,327.29,327.46,325.2,325.71,325.71,53057390
1/9/2020,326.16,326.73,325.52,326.65,326.65,48569600
1/8/2020,322.94,325.78,322.67,324.45,324.45,68434150
1/7/2020,323.02,323.54,322.24,322.73,322.73,42854810
1/6/2020,320.49,323.73,320.36,323.64,323.64,55761950
1/3/2020,321.16,323.64,321.1,322.41,322.41,77783120
1/2/2020,323.54,324.89,322.53,324.87,324.87,59253830
12/31/2019,320.53,322.13,320.15,321.86,321.86,57107000
12/30/2019,322.95,323.1,320.55,321.08,321.08,49782730
12/27/2019,323.74,323.8,322.28,322.86,322.86,42554820
12/26/2019,321.65,322.95,321.64,322.94,322.94,31024190
12/24/2019,321.47,321.52,320.9,321.23,321.23,20270010
12/23/2019,321.59,321.65,321.06,321.22,321.22,53015640
12/20/2019,320.46,321.9742,319.3873,320.73,320.73,149338200
12/19/2019,319.8,320.98,319.5246,320.9,320.9,85388420
12/18/2019,320,320.25,319.53,319.59,319.59,48199960
12/17/2019,319.92,320.25,319.48,319.57,319.57,61131770
12/16/2019,319.22,320.15,317.2542,319.5,319.5,82836130
12/13/2019,316.87,318.67,316.02,317.32,317.32,81546490
12/12/2019,314.43,317.99,314.17,317.13,317.13,96585800
12/11/2019,314.03,314.7,313.4393,314.42,314.42,53521450
12/10/2019,313.82,314.55,312.81,313.53,313.53,53107130
12/9/2019,314.44,315.18,313.8,313.88,313.88,34904320
12/6/2019,314.12,315.31,314.11,314.87,314.87,48956770
12/5/2019,312.23,312.25,310.58,312.02,312.02,40781670
12/4/2019,310.7,312.12,310.32,311.46,311.46,49190400
12/3/2019,308.65,309.64,307.13,309.55,309.55,75172710
12/2/2019,314.59,314.66,311.17,311.64,311.64,76110030
11/29/2019,314.86,315.13,314.06,314.31,314.31,36592740
11/27/2019,314.61,315.48,314.37,315.48,315.48,44793180
11/26/2019,313.41,314.28,313.06,314.08,314.08,37727950
11/25/2019,311.98,313.37,311.98,313.37,313.37,48762680
11/22/2019,311.09,311.24,309.85,310.96,310.96,44850230
11/21/2019,310.89,311.01,309.39,310.27,310.27,54664690
11/20/2019,311.28,311.85,309.06,310.77,310.77,79696280
11/19/2019,312.68,312.69,311.22,311.93,311.93,67927820
11/18/2019,311.53,312.28,311.03,312.02,312.02,49327980
11/15/2019,311.02,311.84,310.26,311.79,311.79,62706190
11/14/2019,308.79,309.64,308.09,309.55,309.55,52001870
11/13/2019,307.91,309.54,307.66,309.1,309.1,54459020
11/12/2019,308.75,309.99,308.15,309,309,46484620
11/11/2019,307.42,308.54,307.27,308.35,308.35,35934910
11/8/2019,307.8,309.0036,307.03,308.94,308.94,49068800
11/7/2019,308.57,309.65,307.66,308.18,308.18,54272270
11/6/2019,307.03,307.4,306.06,307.1,307.1,46487110
11/5/2019,307.59,307.9195,306.71,307.03,307.03,42933220
11/4/2019,307.85,308,306.96,307.37,307.37,60606920
11/1/2019,304.92,306.19,304.74,306.14,306.14,71141520
10/31/2019,304.13,304.13,301.73,303.33,303.33,69053790
10/30/2019,303.43,304.55,301.99,304.14,304.14,49643930
10/29/2019,303,304.23,302.86,303.21,303.21,44284920
10/28/2019,302.94,303.85,302.91,303.3,303.3,42146970
10/25/2019,299.74,302.2,299.6806,301.6,301.6,45205410
10/24/2019,300.91,301.07,299.4601,300.37,300.37,35857460
10/23/2019,298.73,299.94,298.495,299.88,299.88,34991830
10/22/2019,300.58,300.9,298.91,299.01,299.01,49126040
10/21/2019,299.42,300.21,298.935,299.99,299.99,39460900
10/18/2019,298.69,299.395,296.99,297.97,297.97,64338030
10/17/2019,299.68,300.24,298.515,299.28,299.28,46784890
10/16/2019,298.37,299.16,297.92,298.4,298.4,50563600
10/15/2019,297.1,299.7,296.97,298.88,298.88,47832360
10/14/2019,295.93,296.67,295.57,295.95,295.95,40546670
10/11/2019,296.27,298.74,296.1448,296.28,296.28,101228600
10/10/2019,291.18,294.21,291,293.24,293.24,57255970
10/9/2019,290.75,292.3,288.6559,291.27,291.27,65707330
10/8/2019,291.04,291.85,288.49,288.53,288.53,101575500
10/7/2019,293.47,295.26,292.77,293.08,293.08,60656560
10/4/2019,291.14,294.63,290.82,294.35,294.35,66700680
10/3/2019,287.81,290.45,284.82,290.42,290.42,85906800
10/2/2019,291.5,291.51,286.64,288.06,288.06,124524000
10/1/2019,297.74,298.455,293,293.24,293.24,89900420
9/30/2019,295.97,297.55,295.92,296.77,296.77,52562760
9/27/2019,297.83,297.9465,293.69,295.4,295.4,84781110
9/26/2019,297.63,297.86,295.45,297,297,58722360
9/25/2019,295.96,298.11,294.33,297.62,297.62,73434080
9/24/2019,299.41,299.84,294.81,295.87,295.87,97367570
9/23/2019,297.55,299,297.27,298.21,298.21,47541320
9/20/2019,300.36,300.67,297.41,298.28,298.28,97455980
9/19/2019,301.53,302.63,300.7103,301.08,301.08,78099220
9/18/2019,300.49,301.22,298.24,301.1,301.1,74192090
9/17/2019,299.94,301.02,299.75,300.92,300.92,42904430
9/16/2019,299.84,301.1378,299.45,300.16,300.16,58191180
9/13/2019,301.78,302.17,300.68,301.09,301.09,62104840
9/12/2019,301.25,302.46,300.41,301.29,301.29,72908750
9/11/2019,298.47,300.34,297.75,300.25,300.25,68821070
9/10/2019,297.36,298.2,295.97,298.13,298.13,57947100
9/9/2019,299.14,299.24,297.16,298.2,298.2,51260290
9/6/2019,298.17,298.76,297.42,298.05,298.05,49584290
9/5/2019,296.79,298.83,294.001,297.82,297.82,83356780
9/4/2019,293.14,294.055,292.31,294.04,294.04,47003960
9/3/2019,290.57,291.58,289.27,290.74,290.74,69231880
8/30/2019,294.22,294.2399,291.42,292.45,292.45,62961780
8/29/2019,291.72,293.16,290.61,292.58,292.58,57998910
8/28/2019,286.14,289.07,285.25,288.89,288.89,59852320
8/27/2019,289.54,289.95,286.03,286.87,286.87,68263000
8/26/2019,287.27,288,285.58,288,288,72620600
8/23/2019,290.92,292.76,283.47,284.85,284.85,149318200
8/22/2019,293.23,293.93,290.4,292.36,292.36,51739290
